"model","data_gen","dataset_num","leg_deg","llik_stationary","aic_stationary","bic_stationary"
"model_Ycubic_tr100_legd2.RData","Ycubic",42,2,-158.838633659219,321.677267318439,326.887607690415
"model_Ycubic_tr100_legd2.RData","Ycubic",43,2,-115.541139545642,235.082279091284,240.29261946326
"model_Ycubic_tr100_legd2.RData","Ycubic",44,2,-125.130260595016,254.260521190033,259.470861562009
"model_Ycubic_tr100_legd2.RData","Ycubic",45,2,-117.392758816979,238.785517633957,243.995858005933
"model_Ycubic_tr100_legd2.RData","Ycubic",46,2,-187.597704120147,379.195408240294,384.40574861227
"model_Ycubic_tr100_legd2.RData","Ycubic",47,2,-121.073652035882,246.147304071765,251.357644443741
"model_Ycubic_tr100_legd2.RData","Ycubic",48,2,-140.910842254376,285.821684508752,291.032024880728
"model_Ycubic_tr100_legd2.RData","Ycubic",49,2,-86.2713627325263,176.542725465053,181.753065837029
"model_Ycubic_tr100_legd2.RData","Ycubic",50,2,-132.434437992939,268.868875985879,274.079216357855
"model_Ycubic_tr100_legd2.RData","Ycubic",51,2,-194.014254780069,392.028509560137,397.238849932114
"model_Ycubic_tr100_legd2.RData","Ycubic",52,2,-116.084935295358,236.169870590716,241.380210962692
"model_Ycubic_tr100_legd2.RData","Ycubic",53,2,-156.861482260755,317.722964521509,322.933304893486
"model_Ycubic_tr100_legd2.RData","Ycubic",54,2,-96.7859378214615,197.571875642923,202.782216014899
"model_Ycubic_tr100_legd2.RData","Ycubic",55,2,-88.707408120041,181.414816240082,186.625156612058
"model_Ycubic_tr100_legd2.RData","Ycubic",56,2,-111.081473937307,226.162947874613,231.373288246589
"model_Ycubic_tr100_legd2.RData","Ycubic",57,2,-90.902960559192,185.805921118384,191.01626149036
"model_Ycubic_tr100_legd2.RData","Ycubic",58,2,-98.8538246860473,201.707649372095,206.917989744071
"model_Ycubic_tr100_legd2.RData","Ycubic",59,2,-71.2398544825091,146.479708965018,151.690049336994
"model_Ycubic_tr100_legd2.RData","Ycubic",60,2,-109.946450477042,223.892900954083,229.103241326059
"model_Ycubic_tr100_legd2.RData","Ycubic",61,2,-144.987365597327,293.974731194654,299.18507156663
"model_Ycubic_tr100_legd2.RData","Ycubic",62,2,-93.0712512350223,190.142502470045,195.352842842021
"model_Ycubic_tr100_legd2.RData","Ycubic",63,2,-101.916252451514,207.832504903028,213.042845275004
