"model","data_gen","dataset_num","leg_deg","llik","aic","bic"
"model_Ycubic_tr100_legd2.RData","Ycubic",45,2,-58735.2914015471,117474.582803094,117479.793143466
"model_Ycubic_tr100_legd2.RData","Ycubic",46,2,-63580.7602956221,127165.520591244,127170.730931616
"model_Ycubic_tr100_legd2.RData","Ycubic",47,2,-60973.8227322987,121951.645464597,121956.855804969
"model_Ycubic_tr100_legd2.RData","Ycubic",48,2,-65558.2475571285,131120.495114257,131125.705454629
"model_Ycubic_tr100_legd2.RData","Ycubic",49,2,-40204.3928580505,80412.785716101,80417.996056473
"model_Ycubic_tr100_legd2.RData","Ycubic",50,2,-51894.4021385582,103792.804277116,103798.014617488
"model_Ycubic_tr100_legd2.RData","Ycubic",51,2,-68599.904890537,137203.809781074,137209.020121446
"model_Ycubic_tr100_legd2.RData","Ycubic",52,2,-48829.5061978375,97663.012395675,97668.222736047
"model_Ycubic_tr100_legd2.RData","Ycubic",53,2,-51272.3311750436,102548.662350087,102553.872690459
"model_Ycubic_tr100_legd2.RData","Ycubic",54,2,-55768.5592972851,111541.11859457,111546.328934942
"model_Ycubic_tr100_legd2.RData","Ycubic",55,2,-36247.9008105693,72499.8016211386,72505.0119615106
"model_Ycubic_tr100_legd2.RData","Ycubic",56,2,-46632.7153462928,93269.4306925855,93274.6410329575
"model_Ycubic_tr100_legd2.RData","Ycubic",57,2,-56888.578246276,113781.156492552,113786.366832924
"model_Ycubic_tr100_legd2.RData","Ycubic",58,2,-44345.9007587519,88695.8015175039,88701.0118578759
